id,title,release_date,genres,original_language,vote_average,vote_count,popularity,budget,production_companies
19995,Avatar,12/15/2009,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",English,7.6,29040,188.103,237000000,"['Dune Entertainment', 'Lightstorm Entertainment', '20th Century Fox', 'Ingenious Media']"
653851,Devotion,11/23/2022,"['War', 'History', 'Drama']",English,7.3,466,179.045,90000000,"['Black Label Media', 'STX Entertainment', 'Columbia Pictures', 'Stage 6 Films']"
438148,Minions: The Rise of Gru,6/29/2022,"['Animation', 'Comedy', 'Family']",English,7.4,2806,161.183,85000000,"['Universal Pictures', 'Illumination']"
747355,Swapping: A Divorce Trip Between Two Couples,8/28/2020,['Drama'],Korean,8,1,302.589,0,[]
875104,Ip Man: The Awakening,5/5/2023,"['Action', 'Adventure', 'History', 'Drama']",Chinese,5.6,7,215.539,0,[]
1058949,Little Dixie,2/3/2023,"['Thriller', 'Action', 'Drama', 'Crime']",English,6,97,183.072,0,"['Roxwell Films', 'Three Point Capital']"
823999,Diabolik - Ginko Attacks,11/17/2022,"['Crime', 'Action']",Italian,6,245,164.311,0,"['Mompracem', 'Astorina S.A.C.', 'Emilia-Romagna Film Commission', 'RAI Cinema']"
1012404,Sword Art Online: Extra Edition,12/31/2013,"['Animation', 'Fantasy', 'Adventure']",Japanese,6,4,174.224,0,"['A-1 Pictures', 'SAO-P Project']"
67308,3-D Sex and Zen: Extreme Ecstasy,4/14/2011,"['Drama', 'Adventure', 'Romance', 'Action', 'History']",cn,4.8,86,204.23,3500000,"['One Dollar Production Limited', 'Local Production', 'Film Workshop', 'Tai Seng Entertainment', 'Keyfilms Roma', 'Medusa Film', 'Lucky Red']"
508947,Turning Red,3/10/2022,"['Animation', 'Family', 'Comedy', 'Fantasy']",English,7.5,4150,154.459,190000000,"['Walt Disney Pictures', 'Pixar']"
813726,A Tourist's Guide to Love,4/21/2023,"['Romance', 'Comedy', 'Adventure']",English,6.5,68,161.027,0,"['Cook and Muse Entertainment', 'Head First Productions', 'Muse Entertainment', 'Radius Squared Media Group']"
568124,Encanto,10/13/2021,"['Animation', 'Comedy', 'Family', 'Fantasy']",English,7.6,8169,162.618,50000000,"['Walt Disney Animation Studios', 'Walt Disney Pictures']"
785084,The Whale,12/9/2022,['Drama'],English,8,2202,168.316,3000000,"['A24', 'Protozoa Pictures']"
955991,The Offering,9/23/2022,"['Drama', 'Horror']",English,5.7,124,143.144,0,"['Millennium Films', 'Decal']"
790409,The Last Heretic,11/9/2022,"['Thriller', 'Horror']",Spanish,5.6,19,148.708,0,['Furia Films']
109428,Evil Dead,4/5/2013,['Horror'],English,6.5,4045,198.992,17000000,"['TriStar Pictures', 'FilmDistrict', 'Ghost House Pictures']"
739405,Operation Fortune: Ruse de Guerre,1/4/2023,"['Action', 'Comedy', 'Adventure']",English,6.6,666,169.659,50000000,"['Miramax', 'STX Entertainment', 'Toff Guy Films', 'Tencent Pictures', 'AZ Celtic Films']"
335787,Uncharted,2/10/2022,"['Action', 'Adventure']",English,7,4655,141.184,120000000,"['Columbia Pictures', 'Atlas Entertainment', 'PlayStation Productions', 'Arad Productions', 'Studio Babelsberg', 'Deutscher Filmförderfonds', 'Medienboard Berlin-Brandenburg']"
965839,Lord of the Streets,4/22/2022,['Action'],English,5.3,62,165.5,1000000,['Mutiny Films']
438695,Sing 2,12/1/2021,"['Animation', 'Family']",English,8,3660,156.662,85000000,"['Universal Pictures', 'Illumination']"
650270,Ryoma! The Prince of Tennis,11/11/2021,"['Animation', 'Comedy']",Japanese,2,1,231.562,0,"['The Monk Studios', 'GAGA Corporation', 'KEICA']"
946700,Orkestra Lurtarra,4/8/2022,"['Animation', 'Adventure', 'Comedy']",Basque,4.7,6,131.416,0,"['Lotura Films', 'EiTB']"
