id,title,release_date,genres,original_language,vote_average,vote_count,popularity,production_companies,vote_category,new_budget
34672,Chestnut: Hero of Central Park,10/21/2004,"['Family', 'Comedy']",English,7.2,179,16.865,"['Studio Hamburg WorldWide Pictures', 'Keystone Entertainment', 'Keystone Pictures']",good,1.791759469
946030,Onsen porno chitai,1/8/1972,Company X,Japanese,6,2,19.674,['Nakagawa Production'],bad,0
21191,Sin Nombre,3/20/2009,"['Drama', 'Action', 'Thriller', 'Crime']",Spanish,7.6,575,21.316,"['Canana', 'Creando Films', 'Primary Productions']",good,12.82125828
11713,Fist of Fury,3/22/1972,"['Drama', 'Action', 'Thriller']",Chinese,7.3,777,15.864,['Orange Sky Golden Harvest'],good,11.51292546
37094,Falling Down,2/26/1993,"['Crime', 'Drama', 'Thriller']",English,7.4,3163,20.713,"['Regency Enterprises', 'Alcor Films', 'Warner Bros. Pictures', 'Canal+']",good,17.03438638
1032742,The Best in Hell,10/5/2022,"['War', 'Action', 'Drama']",Russian,8,22,16.612,"['Paritet', 'Aurum Production']",good,12.82125828
25602,Ninja,10/22/2009,"['Action', 'Crime', 'Drama', 'Thriller']",English,6,281,18.864,"['Nu Image', 'Millennium Films']",bad,16.11809565
17609,Antichrist,5/20/2009,"['Drama', 'Horror', 'Thriller']",English,6.7,2256,18.614,"['Zentropa Entertainments', 'DR', 'Trollhättan Film', 'Memfis Film', 'Lucky Red', 'ZDF', 'Slot Machine', 'Zentropa International Köln', 'Zentropa International Poland', 'ZDF/Arte', 'Liberator Productions', 'PISF', 'Svenska Filminstitutet', 'Canal+', 'ARTE France Cinéma', 'SVT', 'ARTE', 'Film i Väst', 'Deutscher Filmförderfonds', 'CNC']",good,16.21340583
7303,Maid in Manhattan,12/13/2002,"['Comedy', 'Drama', 'Romance']",English,6.1,1697,18.313,['Red Om Films'],good,17.82284374
9907,Barnyard,8/4/2006,"['Animation', 'Comedy', 'Family']",English,5.8,937,19.614,"['O Entertainment', 'Nickelodeon Movies', 'Paramount', 'Omation']",bad,17.74733619
437068,A Taxi Driver,8/2/2017,"['Action', 'Drama', 'History']",Korean,8.1,772,16.868,"['The LAMP', 'Showbox']",good,16.3665174
23988,Stan Helsing,10/27/2009,['Comedy'],English,4.2,408,18.112,['Insight Film Studios'],bad,12.80765263
874948,Grudge,10/8/2021,"['Thriller', 'Drama']",Turkish,6.2,71,18.272,['BKM'],good,12.82125828
8386,How High,12/21/2001,['Comedy'],English,6.3,833,21.06,"['Universal Pictures', 'Jersey Films', 'Native Pictures Productions']",good,16.30041721
24922,Ebola Syndrome,6/15/1996,"['Horror', 'Crime']",cn,6.3,102,13.858,"['Golden Harvest Productions', 'Gala Film Distribution Limited', 'Orange Sky Golden Harvest']",good,12.82125828
23169,Remember Me,3/11/2010,"['Drama', 'Romance']",English,7.1,3302,19.861,['Summit Entertainment'],good,16.58809928
18405,The Last House on the Left,3/13/2009,"['Crime', 'Thriller', 'Horror', 'Drama']",English,6.5,1529,25.61,"['Rogue Pictures', 'Film Afrika Worldwide', 'Sean S. Cunningham Films']",good,16.52356076
57718,Megamind: The Button of Doom,2/25/2011,"['Animation', 'Action', 'Comedy', 'Family']",English,6.7,207,19.61,['DreamWorks Animation'],good,12.82125828
347688,Scooby-Doo! and KISS: Rock and Roll Mystery,7/10/2015,"['Family', 'Animation', 'Comedy', 'Mystery']",English,8.1,268,13.362,['Warner Bros. Animation'],good,12.82125828
524216,The Mortuary Collection,10/8/2020,"['Fantasy', 'Horror']",English,6.8,354,19.625,"['Trapdoor Pictures', 'Mountain Path Entertainment', 'Alliance Media Partners']",good,12.82125828
326215,Ooops! Noah Is Gone...,3/26/2015,"['Animation', 'Adventure', 'Comedy', 'Family']",English,6.3,271,15.11,"['Moetion Films', 'Ulysses Filmproduktion', ""Fabrique d'images"", 'Skyline Entertainment', 'Grid Animation']",good,15.60727003
9377,Ferris Bueller's Day Off,6/11/1986,['Comedy'],English,7.6,4305,23.255,['Paramount'],good,15.60727003
480105,47 Meters Down: Uncaged,8/15/2019,"['Horror', 'Drama', 'Adventure']",English,5.7,1223,20.367,"['The Fyzz', 'Lionsgate']",bad,16.30041721
